CFF_reference,Class,Spname_common,Species_phylo,habitat,forage_light_level,mode_of_life,mode_of_life_ref,body_mass,body_mass_ref,Method,CFF
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2010 Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",Actinopterygii,Summer flounder,Paralichthys_dentatus,demersal,high,ballistic,feeds_on_finfish_and_other_nekton_from_fishbase,943.99,fisebase_43.5cm median length reported,Electrophysiology,52
"Ubels, John L.; DeJong, Randall J.; Hoolsema, Brittany; Wurzberger, Amy; Thuy-Tien Nguyen; Blankespoor, Harvey D.; Blankespoor, Curtis L. 2018 Impairment of retinal function in yellow perch (Perca flavescens) by Diplostomum baeri metacercariae Impairment of retinal function in yellow perch (Perca flavescens) by Diplostomum baeri metacercariae Ubels, John L.; DeJong, Randall J.; Hoolsema, Brittany; Wurzberger, Amy; Thuy-Tien Nguyen; Blankespoor, Harvey D.; Blankespoor, Curtis L.",Actinopterygii,Yellow perch,Perca_flavescens,nektonic,high,ballistic,finfish_fishbase,99.78,fishbase 19.1cm common length,Electrophysiology,23
Lythgoe JN (1979) The ecology of vision. Oxford: Claredon Press.,Actinopterygii,guppy,Poecilia_reticulata,nektonic,high,ballistic,Diet_of_insects_fishbase,0.35,fishbase 2.8cm common length,Behavioural,67
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2010 Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",Actinopterygii,Bluefish,Pomatomus_saltatrix,nektonic,high,pursuit,"McHenry, M.J., Johansen, J.L., Soto, A.P., Free, B.A., Paley, D.A. and Liao, J.C., 2019. The pursuit strategy of predatory bluefish (Pomatomus saltatrix). Proceedings of the Royal Society B, 286(1897), p.20182934.",2101.53,fishbase 60cm common length,Electrophysiology,56
"Hasenei, Aaron; Kerstetter, David W.; Horodysky, Andrij Z.; Brill, Richard W. 2020 Physiological limits to inshore invasion of Indo-Pacific lionfish (Pterois spp.): insights from the functional characteristics of their visual system and hypoxia tolerance Physiological limits to inshore invasion of Indo-Pacific lionfish (Pterois spp.): insights from the functional characteristics of their visual system and hypoxia tolerance Hasenei, Aaron; Kerstetter, David W.; Horodysky, Andrij Z.; Brill, Richard W.",Actinopterygii,Butterfly cods,Pterois_volitans,nektonic,high,ballistic,"Van Leeuwen JL, Muller M (1984) Optimum sucking techniques for predatory fish. Trans Zool Soc London 37:137Ð169",38,mass as median from measured specimens in CFF test,Electrophysiology,88
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2010 Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Comparative visual function in four piscivorous fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",Actinopterygii,Cobia,Rachycentron_canadum,demersal,high,ballistic,"Adults_switch_to_fast_moving_fish_Behzadi, S., Kamrani, E., Kaymaram, F. and Ranjbar, M.S., 2018. Trophic level, food preference and feeding ecology of Rachycentron canadum (Linnaeus, 1766), in Hormuzgan Province waters (northern Persian Gulf and Oman Sea).",9305.31,fisebase_110cm common length,Electrophysiology,66
"Hanyu, I.; Ali, M. A. 1964 Electroretinogram and its flicker fusion frequency at different tempretures in light adapted salmon (Salmo salar Electroretinogram and its flicker fusion frequency at different tempretures in light adapted salmon (Salmo salar Hanyu, I.; Ali, M. A.",Actinopterygii,Salmon,Salmo_salar,nektonic,high,ballistic,"Alexander V. Orlov, Yuri V. Gerasimov, Oleg M. Lapshin, The feeding behaviour of cultured and wild Atlantic salmon, Salmo salar L., in the Louvenga River, Kola Peninsula, Russia, ICES Journal of Marine Science, Volume 63, Issue 7, 2006, Pages 1297Ð1303, https://doi.org/10.1016/j.icesjms.2006.05.004",635,mass from commen length of 38cm and converted in fishbase,Electrophysiology,95.8
"Ali, M. A.; Kobayashi, H. 1968 Electroretinogram - Flicker fusion frequency in albino trout Electroretinogram - Flicker fusion frequency in albino trout Ali, M. A.; Kobayashi, H.",Actinopterygii,American brook charr,Salvelinus_fontinalis,nektonic,high,ballistic,"Farwell, M. and McLaughlin, R.L., 2009. Alternative foraging tactics and risk taking in brook charr (Salvelinus fontinalis). Behavioral Ecology, 20(5), pp.913-921.",214,fisebase_from_26.4cm_common_length,Electrophysiology,68
"Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J. 2008 Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Comparative visual function in five sciaenid fishes inhabiting Chesapeake Bay Horodysky, Andrij Z.; Brill, Richard W.; Warrant, Eric J.; Musick, John A.; Latour, Robert J.",Actinopterygii,Red drum,Sciaenops_ocellatus,demersal,high,ballistic,feeds_on_finfish_and_other_nekton_from_fishbase,11468.83,fisebase_from_100cm_common_length,Electrophysiology,55
"Bullock, T.H., Hofmann, M.H., New, J.G. and Nahm, F.K., 1990. Dynamic properties of visual evoked potentials in the tectum of cartilaginous and bony fishes, with neuroethological implications. Journal of Experimental Zoology, 256(S5), pp.142-155.",Actinopterygii,Longspine thornyhead,Sebastolobus_altivelis,demersal,low,sessile_food,feeds on brittlestars from COSEWIC 2007. COSEWIC assessment and status report on the longspine thornyhead Sebastolobus altivelis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 27 pp. (www.sararegistry.gc.ca/status/status_e.cfm),200,mean from COSEWIC 2007. COSEWIC assessment and status report on the longspine thornyhead Sebastolobus altivelis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 27 pp. (www.sararegistry.gc.ca/status/status_e.cfm,Electrophysiology,10
"Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran 2009 Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran",Actinopterygii,Painted comber,Serranus_scriba,demersal,high,ballistic,Fishbase_includes_finfish_in_diet,211.67,fishbase 25cm common length,Electrophysiology,25
