CFF_reference,Class,Spname_common,Species_phylo,habitat,forage_light_level,mode_of_life,mode_of_life_ref,body_mass,body_mass_ref,Method,CFF
"Hammer, DX; Schmitz, H; Schmitz, A; Rylander, HG; Welch, AJ 2001 Sensitivity threshold and response characteristics of infrared detection in the beetle Melanophila acuminata (Coleoptera : Buprestidae) Sensitivity threshold and response characteristics of infrared detection in the beetle Melanophila acuminata (Coleoptera : Buprestidae) Hammer, DX; Schmitz, H; Schmitz, A; Rylander, HG; Welch, AJ",Insecta,Black fire beetle,Melanophila_acuminata,volant,high,sessile_food,"Evans, W. G. (1964-04-11). ""Infra-red Receptors in Melanophila acuminata DeGeer"". Nature. 202 (4928): 211.",0.68,"based_on_allometry_of_a_-0.286_b_0.84_for Coleoptera_fromSohlström, E.H., Marian, L., Barnes, A.D., Haneda, N.F., Scheu, S., Rall, B.C., Brose, U. and Jochum, M., 2018. Applying generalized allometric regressions to predict live body mass of tropical and temperate arthropods. Ecology and evolution, 8(24), pp.12737-12749.",Electrophysiology,400
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Commander,Moduza_procris_milonia,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Nymphalidae taken from Byrne et al. 1988,Electrophysiology,199
"Howard, J., Dubs, A., & Payne, R. (1984). The dynamics of phototransduction in insects - A comparative study. Journal of Comparative Physiology A, 154(5), 707–718. https://doi.org/10.1007/BF01350224",Insecta,House fly,Musca_domestica_vicina,volant,high,sessile_food,"Neupane, Saraswoti, Brandon Hall, Grant Brooke, and Dana Nayduch. 2023. “Sex-Specific Feeding Behavior of Adult House Flies, Musca Domestica L. (Diptera: Muscidae).” Journal of Medical Entomology 60(1): 7–13.",0.018,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,83.3
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",Insecta,Bull ant,Myrmecia_croslandi,terrestrial,high,sessile_food,"Haskins, Caryl P., and Edna F. Haskins. 1950. “Notes on the Biology and Social Behavior of the Archaic Ponerine Ants of the Genera Myrmecia and Promyrmecia.” Annals of the Entomological Society of America 43(4): 461–91.",0.003,"Sheehan, Zachary B.V., J. Frances Kamhi, Marc A. Seid, and Ajay Narendra. 2019. “Differential Investment in Brain Regions for a Diurnal and Nocturnal Lifestyle in Australian Myrmecia Ants.” Journal of Comparative Neurology 527(7): 1261–77.",Electrophysiology,188.7
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",Insecta,Bull ant,Myrmecia_gulosa,terrestrial,high,sessile_food,"Ulrich, Jacob, and Mel Hart. 2022. “A Review of Jaw Morphology and Foraging Behaviour in the Bulldog Ant (Myrmecia Gulosa) Group.” Journal of Student Research 11(1): 1–21.",0.004,"Sheehan, Zachary B.V., J. Frances Kamhi, Marc A. Seid, and Ajay Narendra. 2019. “Differential Investment in Brain Regions for a Diurnal and Nocturnal Lifestyle in Australian Myrmecia Ants.” Journal of Comparative Neurology 527(7): 1261–77.",Electrophysiology,151.6
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",Insecta,Bull ant,Myrmecia_midas,terrestrial,low,sessile_food,"Haskins, Caryl P., and Edna F. Haskins. 1950. “Notes on the Biology and Social Behavior of the Archaic Ponerine Ants of the Genera Myrmecia and Promyrmecia.” Annals of the Entomological Society of America 43(4): 461–91.",0.004,"Based on body mass of sister species from Sheehan et al., 2019",Electrophysiology,84.6
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",Insecta,Bull ant,Myrmecia_pyriformis_Smith_1858,terrestrial,low,sessile_food,"Haskins, Caryl P., and Edna F. Haskins. 1950. “Notes on the Biology and Social Behavior of the Archaic Ponerine Ants of the Genera Myrmecia and Promyrmecia.” Annals of the Entomological Society of America 43(4): 461–91.",0.004,"Based on body mass of sister species from Sheehan et al., 2019",Electrophysiology,73.3
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",Insecta,Bull ant,Myrmecia_tarsata,terrestrial,high,sessile_food,"Haskins, Caryl P., and Edna F. Haskins. 1950. “Notes on the Biology and Social Behavior of the Archaic Ponerine Ants of the Genera Myrmecia and Promyrmecia.” Annals of the Entomological Society of America 43(4): 461–91.",0.004,"Sheehan, Zachary B.V., J. Frances Kamhi, Marc A. Seid, and Ajay Narendra. 2019. “Differential Investment in Brain Regions for a Diurnal and Nocturnal Lifestyle in Australian Myrmecia Ants.” Journal of Comparative Neurology 527(7): 1261–77.",Electrophysiology,162.6
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",Insecta,Bull ant,Myrmecia_vindex,terrestrial,low,sessile_food,"Haskins, Caryl P., and Edna F. Haskins. 1950. “Notes on the Biology and Social Behavior of the Archaic Ponerine Ants of the Genera Myrmecia and Promyrmecia.” Annals of the Entomological Society of America 43(4): 461–91.",0.004,"Based on body mass of sister species from Sheehan et al., 2019",Electrophysiology,125.2
"Ogawa, Y., Jones, L., Ryan, L. A., Robson, S. K. A., Hart, N. S., & Narendra, A. (2023). Physiological properties of the visual system in the Green Weaver ant, Oecophylla smaragdina. Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology, 0123456789. https://doi.org/10.1007/s00359-023-01629-7",Insecta,Green weaver ant,Oecophylla_smaragdina,terrestrial,high,pursuit,"Bhagat, M., Jayalaxmi Ganguli, I., & Rashmi Gauraha, I. (2020). Predatory behaviour of red ant (Oecophylla smaragdina F) on various insect pests of different crops. Journal of Entomology and Zoology Studies, 8(4), 1396–1400. http://www.entomoljournal.com",0.003,"Chapuisat, M., & Keller, L. (2002). Division of labour influences the rate of ageing in weaver ant workers. Proceedings of the Royal Society B: Biological Sciences, 269(1494), 909–913. https://doi.org/10.1098/rspb.2002.1962",Electrophysiology,132
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Lime butterfly,Papilio_demoleus_demoleus,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.3,Mean for Papilionidae taken from Byrne et al. 1988,Electrophysiology,105
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Common mormon,Papilio_polytes_polytes,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.3,Mean for Papilionidae taken from Byrne et al. 1988,Electrophysiology,174.8
"NAKAGAWA, T; EGUCHI, E 1994 DIFFERENCES IN FLICKER FUSION FREQUENCIES OF THE 5 SPECTRAL PHOTORECEPTOR TYPES IN THE SWALLOWTAIL BUTTERFLYS COMPOUND EYE DIFFERENCES IN FLICKER FUSION FREQUENCIES OF THE 5 SPECTRAL PHOTORECEPTOR TYPES IN THE SWALLOWTAIL BUTTERFLYS COMPOUND EYE NAKAGAWA, T; EGUCHI, E",Insecta,Asian swallowtail,Papilio_xuthus_koxingus,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.3,Mean for Papilionidae taken from Byrne et al. 1988,Electrophysiology,107
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Indian wanderer,Pareronia_ceylanica,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.1,Mean for Pieridae taken from Byrne et al. 1988,Electrophysiology,113.25
"Miall, RC 1978 The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ Miall, RC",Insecta,American Cockroach,Periplaneta_americana,terrestrial,low,sessile_food,"Bell, W.J. and Adiyodi, K.G. eds., 1982. The american cockroach. Springer Science & Business Media.",1.17,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,41.8
"Stowasser, A., Mohr, S., Buschbeck, E. and Vilinsky, I., 2015. Electrophysiology meets ecology: investigating how vision is tuned to the life style of an animal using electroretinography. Journal of Undergraduate Neuroscience Education, 13(3), p.A234.",Insecta,Firefly,Photinus_pyralis,volant,low,sessile_food,"Brattsten, L. B., and R. L. Metcalf. 1970. “The Synergistic Ratio of Carbaryl with Piperonyl Butoxide as an Indicator of the Distribution of Multifunction Oxidases in the Insecta.” Journal of economic entomology 63(1): 101–4.",,,Electrophysiology,40
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,plain grey hawkmoth,Psilogramma_increta,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",1,Mean for Sphingidae taken from Byrne et al. 1988,Electrophysiology,171
"Ilić, Marko, Primož Pirih, and Gregor Belušič. ""Four photoreceptor classes in the open rhabdom eye of the red palm weevil, Rynchophorus ferrugineus Olivier."" Journal of Comparative Physiology A 202, no. 3 (2016): 203-213.",Insecta,Asian palm weevil,Rhynchophorus_ferrugineus,volant,high,sessile_food,"Peri, E., Rochat, D., Belu_i_, G., Ili_, M., Soroker, V., Barkan, S., Guarino, S., Bue, P.L. and Colazza, S., 2017. Rhynchophorus ferrugineus: behavior, ecology, and communication. Handbook of major palm pests: Biology and management, pp.105-130.",0.94,"Aldawood, A. S., Rasool, K. G., Sukirno, S., Husain, M., Sutanto, K. D., & Alduailij, M. A. (2022). Semi-artificial diet developed for the successful rearing of red palm weevil: Rhynchophorus ferrugineus (Coleoptera: Dryophthoridae) in the laboratory. Journal of King Saud University - Science, 34(7), 102272. https://doi.org/10.1016/j.jksus.2022.102272",Electrophysiology,100
"Miall, RC 1978 The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ Miall, RC",Insecta,Emperor moth,Saturnia_pavonia,volant,low,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.24,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,76.7
"Autrum H, Gallwitz U (1951) Zur analyse der Belichtungspotentiale des insecktenauges. Zeitschrift fur Vergleichende Physiologie 33: 407–435.",Insecta,dragonfly,Sympetrum_flaveolum,volant,high,pursuit,"Frantsevich, L.I. and Mokrushov, P.A., 1984. Visual stimuli releasing attack of a territorial male in Sympetrum (Anisoptera: Libellulidae). Odonatologica, 13(3), pp.335-350.",0.5,Mean of 29 spp taken from May 1981,Electrophysiology,300
"Howard, J., Dubs, A., & Payne, R. (1984). The dynamics of phototransduction in insects - A comparative study. Journal of Comparative Physiology A, 154(5), 707–718. https://doi.org/10.1007/BF01350224",Insecta,Purple-winged mantis,Tenodera_australasiae,terrestrial,high,ballistic,"McCue, Marshall D., Isabella Salinas, Gabriella Ramirez, and Shawn Wilder. 2016. “The Postabsorptive and Postprandial Metabolic Rates of Praying Mantises: Comparisons across Species, Body Masses, and Meal Sizes.” Journal of Insect Physiology 93–94: 64–71. http://dx.doi.org/10.1016/j.jinsphys.2016.08.008.",6,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,55.3
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",Insecta,Grass demon,Udaspes_folus,volant,high,sessile_food,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.06,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. H. (2009). Adult butterfly feeding-nectar flower associations: Constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13–14), 855–884. https://doi.org/10.1080/00222930802610568",Electrophysiology,126
"Buschbeck, EK; Ehmer, B; Hoy, RR 2003 The unusual visual system of the Strepsiptera: external eye and neuropils The unusual visual system of the Strepsiptera: external eye and neuropils Buschbeck, EK; Ehmer, B; Hoy, RR",Insecta,parasite wasp,Xenos_peckii,volant,high,sessile_food,"Druart, G., GuŽrineau, N., Ha•dar, R., ThŽtas, S., Taboury, J., Rommelure, S., Primot, J. and Fendler, M., 2009. Demonstration of an infrared microcamera inspired by Xenos peckii vision. Applied optics, 48(18), pp.3368-3374.",0.00102,"Druart, G., GuŽrineau, N., Ha•dar, R., ThŽtas, S., Taboury, J., Rommelure, S., Primot, J. and Fendler, M., 2009. Demonstration of an infrared microcamera inspired by Xenos peckii vision. Applied optics, 48(18), pp.3368-3374.",Electrophysiology,35
"Cohen, Jonathan H.; Frank, Tamara M. 2006 Visual physiology of the Antarctic amphipod Abyssorchomene plebs Visual physiology of the Antarctic amphipod Abyssorchomene plebs Cohen, Jonathan H.; Frank, Tamara M.",Malacostraca,Physiology Oogy ofogy of Ant,Abyssorchomene_plebs,demersal,low,sessile_food,scavenger_from _description_in_Cohen_and_Frank 200_ (Visual Physiology of the Antarctic Amphipod Abyssorchomene plebs),0.1,Based_on_length_of_1.47_cm_from_Cohen_and_Frank 200_ (Visual Physiology of the Antarctic Amphipod Abyssorchomene plebs),Electrophysiology,15
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",Malacostraca,Oplophorid shrimp,Acanthephyra_purpurea,nektonic,low,ballistic,"active_carnivore_from_Frank, T.M., 2003. Effects of light adaptation on the temporal resolution of deep-sea crustaceans. Integrative and comparative biology, 43(4), pp.559-570.",1.4,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,18
"Kingston, A.C., Chappell, D.R. and Speiser, D.I., 2020. A snapping shrimp has the fastest vision of any aquatic animal. Biology Letters, 16(6), p.20200298.",Malacostraca,bigclaw snapping shrimp,Alpheus_heterochaelis,demersal,high,ballistic,Diet_includes_fish_sealife_base,0.79,"Song, Z., Salas, A. K., Montie, E. W., Laferriere, A., Zhang, Y., & Aran Mooney, T. (2021). Sound pressure and particle motion components of the snaps produced by two snapping shrimp species ( Alpheus heterochaelis and Alpheus angulosus) . The Journal of the Acoustical Society of America, 150(5), 3288–3301. https://doi.org/10.1121/10.0006973",Electrophysiology,200
"Caves, E. M., Frank, T. M., & Johnsen, S. (2016). Spectral sensitivity, spatial resolution and temporal resolution and their implications for conspecific signalling in cleaner shrimp. Journal of Experimental Biology, 219(4), 597–608. https://doi.org/10.1242/jeb.122275",Malacostraca,Pederson cleaner shrimp,Ancylomenes_pedersoni,demersal,high,sessile_food,sealife_base,0.13,"Cantrell, C. E., Henry, R. P., & Chadwick, N. E. (2015). Nitrogen transfer in a Caribbean mutualistic network. Marine Biology, 162(12), 2327–2338. https://doi.org/10.1007/s00227-015-2767-9",Electrophysiology,48
"Crozier, W. J., & Wolf, E. (1939). The flicker response contour for the isopod Asellus. The Journal of General Physiology, 22(4), 451–462.",Malacostraca,Water louse,Asellus_aquaticus,demersal,high,sessile_food,"Moore, J. W. (1975). The Role of algae in the diet of Asellus aquaticus L . and Gammarus pulex L . Journal of Animal Ecology, 44(3), 719–730.",0.02,"Adams, J., Greenwood, P., Pollitt, R., & Yonow, T. (1985). Loading constraints and sexual size dimorphism in Asellus aquaticus. Behaviour, 92(May), 277–287.",Behavioural,51.3
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",Malacostraca,Crab,Bathynectes_longipes,demersal,low,sessile_food,"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",4,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,14
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",Malacostraca,Isopod,Booralana_tricarinata,demersal,low,sessile_food,"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",4.6,Body mass from Wilson et al 2017 (Activity syndromes and metabolism in giant deep-sea isopods).,Electrophysiology,4
"Waterman TH (1981) Polarization sensitivity. In: Autrum H (ed) Handbook of sensory physiology, vol VII/6C. Berlin: Springer. pp. 281Ð469. / Inger, R., Bennie, J., Davies, T. and Gaston, K., 2014. Potential Biological and Ecological Effects of Flickering Artificial Light. PLoS ONE, 9(5), p.e98631.",Malacostraca,the devil crayfish,Cambarus_diogenes,demersal,high,sessile_food,"Grow, L., 1981. Burrowing behaviour in the crayfish, Cambarus diogenes diogenes Girard. Animal Behaviour, 29(2), pp.351-356.",29,"Grosell, M., Brauner, C. J., Kelly, S. P., McGeer, J. C., Bianchini, A., & Wood, C. M. (2002). Physiological responses to acute silver exposure in the freshwater crayfish (cambarus diogenes diogenes) - A model invertebrate? Environmental Toxicology and Chemistry, 21(2), 369–374. https://doi.org/10.1002/etc.5620210220",Electrophysiology,56
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",Malacostraca,shrimp,Eugonatonotus_crassus,demersal,low,sessile_food,based on general description of related species,2.84,"Based on mean total length of 75.82mm from Chan, T.Y. and Yu, H.P., 1988. An uncommon deep-sea shrimp Eugonatonotus crassus (A. Milne Edwards, 1881)(Crustacea: Decapoda: Eugonatonotidae) from Taiwan. Bulletin of the Institute of Zoology, Academica Sinica, 27, pp.259-263. Scaling relationship based on with -2.3646 b 3.2033 from the data in Kuberan, G., Chakraborty, R.D. and Sarada, P.T., 2022. LengthÐweight relationship (LWR) and condition factor (K) of a deepsea shrimp Heterocarpus chani Li, 2006 (Decapoda: Caridea: Pandalidae) from Southern Coast of Indian EEZ. Thalassas: An International Journal of Marine Sciences, pp.1-9. ",Electrophysiology,24
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",Malacostraca,squate lobster,Eumunida_picta,demersal,low,sessile_food,"Based on feeding behaviour of effectively drift feeding from Nizinski, M.S., McClain-Counts, J.P. and Ross, S.W., 2023. Habitat utilization, demography, and behavioral observations of the squat lobster, Eumunida picta (Crustacea: Anomura: Eumunididae), on western North Atlantic deep-water coral habitats. Deep Sea Research Part I: Oceanographic Research Papers, 193, p.103953.",8.6,"Based on CL of 29.2mm from (Habitat utilization, demography, and behavioral observations of the squat lobster, Eumunida picta (Crustacea: Anomura: Eumunididae), on western North Atlantic deep-water coral habitats). Using the allometry of CL with weight for Munidia Rugosa using the equation 2.84*(log(29.2)) -log(2.76) gives 8.6 grams from (ASPECTS OF TH E BIOLOGY OF TH E SQUAT LOBSTER, MUNIDA RUGOSA (FABRICIUS, 1775) Khadija Abdulla Yousuf Zainal, 1990)",Electrophysiology,11
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",Malacostraca,krill,Euphausia_gibboides,nektonic,low,sessile_food,"Lower_trophic_level_with_size_indicating_mainly_detrus_feeding_from_Sogawa, S., Sugisaki, H., Tadokoro, K., Ono, T., Sato, E., Shimode, S. and Kikuchi, T., 2017. Feeding habits of six species of euphausiids (Decapoda: Euphausiacea) in the northwestern Pacific Ocean determined by carbon and nitrogen stable isotope ratios. The Journal of Crustacean Biology, 37(1), pp.29-36.",0.07,"median_CL_length_of_0.5cm_from_Sogawa, S., Sugisaki, H., Tadokoro, K., Ono, T., Sato, E., Shimode, S. and Kikuchi, T., 2017. Feeding habits of six species of euphausiids (Decapoda: Euphausiacea) in the northwestern Pacific Ocean determined by carbon and nitrogen stable isotope ratios. The Journal of Crustacean Biology, 37(1), pp.29-36.",Electrophysiology,32
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",Malacostraca,penaeid shrimp,Funchalia_villosa,demersal,low,ballistic,Based_on_ piscivorous_diet_sebase,3.968,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,Electrophysiology,24
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",Malacostraca,penaeid shrimp,Funchalia_villosa,demersal,low,ballistic,Based_on_ piscivorous_diet_seabase,3.968,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,Electrophysiology,21
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",Malacostraca,penaeid shrimp,Funchalia_villosa,demersal,low,ballistic,Based_on_ piscivorous_diet_seabase,3.968,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,Electrophysiology,21
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",Malacostraca,squat lobsters,Gastroptychus_spinifer,demersal,low,sessile_food,"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",4,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",Electrophysiology,10
"Brodrick, E. A., How, M. J., & Hemmi, J. M. (2022). Fiddler crab electroretinograms reveal vast circadian shifts in visual sensitivity and temporal summation in dim light. Journal of Experimental Biology, 225(5), 1–12. https://doi.org/10.1242/jeb.243693",Malacostraca,Fiddler crab,Gelasimus_signatus,demersal,high,sessile_food,"Nobbs, Madeleine. 1999. “The Behavioural Ecology of Fiddler Crabs (Genus: Uca) That Live in the Mangrove Forests of Darwin Harbour.”",2.8,"Falkowski, M. (2017). The spectral and temporal properties of fiddler crab photoreceptors in the context of predator avoidance.",Electrophysiology,90
"Meyer-Rochow VB, Laughlin SB. 1997. Intracellular recordings from photoreceptors of the Antarctic isopod Glyptonotus antarcticus.",Malacostraca,Giant Antarctic Isopod,Glyptonotus_antarcticus,demersal,low,sessile_food,"Janecki, T. and Rakusa-Suszczewski, S., 2006. Biology and metabolism of Glyptonotus antarcticus (Eights)(Crustacea: Isopoda) from Admiralty Bay, King George Island, Antarctica. Polar bioscience, 19, pp.29-42.",32.6,"Robertson, R., El-Haj, A. J., Clarke, A., Peck, L. S., & Taylor, E. (2001). The effects of temperature on metabolic rate and protein synthesis following a meal in the isopod Glyptonotus antarcticus Eights (1852). Polar Biology, 24(9), 677–686. https://doi.org/10.1007/s003000100268",Electrophysiology,12
